Category,ID,term,genes,adj_pval
Canonical pathway,12,Ephrin Receptor Signaling,"RAP2A,RGS3,Wasl,CREBBP,CREB5,BCAR1,RAP1A,GNG7,GNAI2,GNB1,GNAI3,GNB4,EPHB1,ARPC2,ADAM10,EFNB3,GNG5,MAP4K4,MAP2K1,GNG12",1.87E-05
Canonical pathway,13,14-3-3-mediated Signaling,"RAP2A,PIK3C2B,TUBB3,YWHAG,YWHAH,BAD,PIK3R1,STK11,YWHAZ,TUBB,RAP1A,TUBB2B,JUN,PDCD6IP,MAP2K1,AKT1S1",4.35E-05
Canonical pathway,14,Androgen Signaling,"RELA,CCNH,POLR2D,CREBBP,POLR2K,GNG7,GNB1,GNAI2,GNB4,GNAI3,JUN,HSP90AA1,DNAJB1,GNG5,GNG12",5.04E-05
Canonical pathway,15,Neuregulin Signaling,"RPS6,RAP2A,HSP90B1,HSP90AB1,BAD,ERBB2IP,PIK3R1,HSP90AA1,TMEFF2,ERBB3,MAP2K1,RAP1A",0.000109146
Canonical pathway,16,mTOR Signaling,"RAP2A,PIK3C2B,DDIT4,PPP2CA,RHOC,STK11,PIK3R1,PPP2R5B,EIF3J1,FKBP1A,RPS21,EIF4A2,RICTOR,RAP1A,RPS6,PPP2R4,EIF3D,AKT1S1,EIF3L,FNBP1,RPS24",0.000109146
Cellular function,17,Hypomyelination,"BACE1,ERBB2IP,HSPA5,MAG,MAL,OLIG1,PLP1",0.000234
Cellular function,18,Microtubule dynamics,"ACTB,ACTG1,ADAM10,ADAMTS4,AGT,ATL1,BACE1,BCAR1,CAPRIN1,CDK16,CDKN1A,CHMP2B,CLASP2,CSRP1,DBNL,DNM1L,DOCK1,DPYSL2,EFNB3,EHD1,EIF2B2,EPHB1,ERBIN,FMR1,FNBP1,GIT1,GJC2,HDAC2,HSP90AA1,HSP90AB1,IFRD1,JUN,KIF3A,KLF9,LLGL1,MAG,MAP2K1,MAPK8IP1,MGLL,NDN,NFIA,NFIX,NFKBIA,NPC1,NSG1,NSMF,PCDH9,PHGDH,PKP4,Ppp1cc,PPP2CA,PRNP,Ptprd,PTPRE,RAB3A,RAP2A,RAPGEF3,RDX,RGMA,RPS6,RTN4,SGK1,SH3GLB1,SLC11A2,SPAST,STIP1,STK11,STMN1,STMN3,SULF2,TOR1A,Ubb,UGT8,USP9X,Wasl,YWHAH,ZNF365",0.00031
Canonical pathway,19,AMPK Signaling,"PIK3C2B,CAB39,RAB1A,RAB3A,PPP2CA,ACTB,STK11,PIK3R1,CREBBP,AK3,PPP2R5B,SMARCE1,SMARCD1,CREB5,SMARCA4,BRD7,AK1,PPM1B,PPP2R4,CDKN1A,AKT1S1",0.00034393
Canonical pathway,20,Signaling by Rho Family GTPases,"RELA,PIK3C2B,RHOC,ACTB,PIK3R1,SEPT7,RDX,ARHGEF1,CDC42EP2,GNG7,GNB1,GNAI2,STMN1,GNB4,GNAI3,JUN,ARPC2,CDH10,GNG5,MAP2K1,ACTG1,GNG12,FNBP1",0.00034393
Canonical pathway,21,Dopamine Receptor Signaling,"Ppp1cc,PPP1R10,PTPA,PPP2CA,COMT,DDC,PPP2R5B,PPP1R14A,SPR,PPP1CA",0.000431919
Canonical pathway,22,CXCR4 Signaling,"RAP2A,PIK3C2B,RHOC,PIK3R1,BCAR1,RAP1A,GNG7,GNAI2,GNB1,DOCK1,GNAI3,GNB4,JUN,GNG5,MAP2K1,GNG12,FNBP1",0.00052024
Cellular function,23,Synthesis of protein,"EIF2B2,FMR1,HSPA5,MAP2K1,MKRN1,PRNP,RPS6,STIP1",0.000527
Canonical pathway,24,Protein Kinase A Signaling,"RELA,Calm1 (includes others),BAD,YWHAH,DUSP15,GNG7,GNB1,GNB4,NFKBIA,DUSP3,Ppp1cc,PPP1R10,PPP3R1,DUSP10,CHUK,PPP1CA,GNG5,MAP2K1,GNG12,PTPRE,YWHAG,CREBBP,YWHAZ,PPP1R14A,CREB5,RAP1A,GNAI2,GNAI3,Ptprd,KDELR2",0.000545307
Canonical pathway,25,Ceramide Signaling,"PIK3C2B,RAP2A,RELA,JUN,BAD,S1PR5,PPP2R4,PPP2CA,PIK3R1,PPP2R5B,MAP2K1,RAP1A",0.00057171
Canonical pathway,26,"D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis","ITPK1,MINPP1,Ppp1cc,INPP5F,PPP1R16B,PTPA,DUSP10,PPP2R5B,PPFIBP2,PPP1R14A,MTMR2,DUSP15,PPP1CA,THTPA",0.000628836
Cellular function,27,Accumulation of ganglioside,"ABCA2,HEXA,NPC1",0.000648
Cellular function,28,Myelination,"ABCA2,BACE1,BCKDK,DDIT4,ERBB3,ERBB2IP,FA2H,GJC2,MAG,MAL,MAP2K1,MTMR2,NFKBIA,PLP1,PTPRE,RELA,RTN4,SMARCA4,Wasl",0.000679
Canonical pathway,29,CDP-diacylglycerol Biosynthesis I,"AGPAT4,ABHD5,AGPAT5,LPGAT1,AGPAT3",0.000801121
Canonical pathway,30,Endocannabinoid Developing Neuron Pathway,"RAP2A,PIK3C2B,PIK3R1,CREBBP,CREB5,RAP1A,GNG7,GNB1,GNAI2,GNAI3,MGLL,GNG5,MAP2K1,AKT1S1",0.000841472
Cellular function,31,Differentiation of oligodendrocytes,"DUSP10,ERBB3,HDAC2,KHDRBS1,NKX6-2,OLIG1,OLIG2,RAPGEF3,RICTOR,RTN4,SMARCA4,SOX10,SOX8,UGT8A",0.000965
Cellular function,32,Proliferation of neural precursor cells,"CDKN1A,EPHB1,FMR1,HDAC3,IFT20,KIF3A,LLGL1,NCOR2,NDN,PRNP,RPGRIP1,SOX2",0.00101
Cellular function,33,Quantity of neuroglia,"ADAM10,ADAMTS4,ERBB3,GJC2,HDAC2,HDAC3,HSPA5,LPAR1,MAP2K1,NFIA,OLIG2,PLP1,RAB3A,RDX,SOX10",0.00112
Cellular function,34,Development of neuroglia,"DDIT4,EIF2B2,ERBB3,HDAC11,MAP2K1,NFKBIA,OLIG1,OLIG2,PHGDH,PPP3R1,RELA,SOX10",0.00114
Canonical pathway,35,IL-8 Signaling,"RAP2A,RELA,PIK3C2B,RHOC,PIK3R1,RAP1A,CSTB,GNG7,GNAI2,GNB1,GNAI3,GNB4,JUN,CHUK,GNG5,MAP4K4,MAP2K1,GNG12,FNBP1",0.001468885
Cellular function,36,Accumulation of glycosphingolipid,"ABCA2,HEXA,NPC1,UGT8A",0.0015
Canonical pathway,37,Toll-like Receptor Signaling,"IL33,RELA,IL18,JUN,NFKBIA,Ubb,CHUK,UBC,MAP4K4",0.001547627
Cellular function,38,Apoptosis of neural stem cells,"DNM1L,NDN,SEL1L",0.00155
Cellular function,39,Growth of embryonic tissue,"CDKN1A,DNM1L,EPHB1,FMR1,HDAC3,HHIP,IFT20,KCNA1,KIF3A,LLGL1,LPAR1,NCOR2,NDN,PRNP,RPGRIP1,S1PR5,SEL1L,SMARCA4,SOX10,SOX2",0.00204
Cellular function,40,G2/M phase,"CDKN1A,HDAC3,NDRG1,SGK1",0.00225
Cellular function,41,Maturation of cells,"Cdkn1c,ERBB3,FMR1,HDAC2,KLF9,MAG,NFIA,OLIG1,RAB3A,SEPP1,SOX10,WNT3,YWHAZ",0.00238
Canonical pathway,42,Ketogenesis,"BDH1,HMGCS1,HADHA",0.002507761
Cellular function,43,Commitment of neuroglia,"OLIG1,SEL1L,SMARCA4",0.00298
Canonical pathway,44,Gap Junction Signaling,"RAP2A,PIK3C2B,TUBB3,GJC2,ACTB,PIK3R1,CSNK1A1,TUBB,RAP1A,TUBB2B,GNAI2,CSNK1E,GNAI3,LPAR1,GJC3,PPP3R1,MAP2K1,ACTG1",0.003131843
Cellular function,45,Generation of reactive oxygen species,"AGT,CAT,HSD17B10,NPC1",0.00323
Cellular function,46,Differentiation of neuroglia,"BAG1,DUSP10,ERBB3,GLUL,HDAC2,KHDRBS1,NEO1,NKX6-2,OLIG1,OLIG2,PLP1,RAPGEF3,RELA,RICTOR,RTN4,SMARCA4,SOX10,SOX8,UGT8A",0.00341
Cellular function,47,Synaptic depression,"BACE1,BAD,EFNB3,EPHB1,FMR1,GNAI2,HLA-A,MGLL,NFKBIA,NTSR2,PARK7,PEBP1,PPP3R1,RAB3A,RAP2A,SLC24A2,UBE2A",0.00391
Cellular function,48,Myelination of nervous system,"BACE1,DDIT4,ERBB3,MAG,MAL,MAP2K1,NFKBIA,PTPRE,RELA,RTN4,SMARCA4,Wasl",0.00392
Canonical pathway,49,Dopamine-DARPP32 Feedback in cAMP Signaling,"Calm1 (includes others),PPP2CA,CREBBP,PPP2R5B,CSNK1A1,PPP1R14A,CREB5,CSNK1E,GNAI2,GNAI3,Ppp1cc,PPP1R10,PTPA,PPP3R1,PPP1CA",0.00393104
Cellular function,50,Density of synapse,"CHMP2B,DNM1L,EFNB3,EPHB1,FMR1,HLA-A,MTMR2",0.00435
Cellular function,51,Development of nerves,"BACE1,CHD7,EPHB1,ERBB3,MAG,MAL,MAP2K1,RTN4,SMARCA4,SOX2,Wasl",0.00537
Canonical pathway,52,Insulin Receptor Signaling,"RAP2A,PIK3C2B,BAD,SGK1,PIK3R1,PPP1R14A,RAP1A,EIF2B2,Ppp1cc,INPP5F,PPP1R10,STX4A,PPP1CA,MAP2K1",0.00629389
Canonical pathway,53,Glycolysis I,"TPI1,PGAM1,ALDOA,GAPDH",0.00668591
Canonical pathway,54,Gluconeogenesis I,"PGAM1,ALDOA,GAPDH,MDH2",0.00668591
Canonical pathway,55,TCA Cycle II (Eukaryotic),"IDH3G,SDHC,MDH2,OGDH",0.010314048
Cellular function,56,Commitment of cells,"OLIG1,OLIG2,SEL1L,SMARCA4",0.0124
Cellular function,57,Growth of axons,"ACTB,APBB1,CLASP2,DPYSL2,DUSP10,EEA1,EFNB3,EIF2B2,GNAI2,HSPA8,INPP5F,MAG,NFIA,NFIX,NSG1,NSMF,PTP4A2,RTN1,RTN4,TMOD2",0.014
Canonical pathway,58,Cyclins and Cell Cycle Regulation,"CCNH,HDAC3,HDAC2,PPP2R4,PPP2CA,HDAC11,PPP2R5B,CDKN1A,CUL1",0.015190222
Cellular function,59,Cell viability of central nervous system cells,"CAT,DNM1L,GIT1,HSD17B10,JUN,NFKBIA,NPC1,PACS2,PARK7,PEG3,PRNP,RELA,SLC11A2",0.021
Cellular function,60,Endocytosis,"ACTB,ACTG1,AP2M1,BIN1,CLN3,DNM1L,HSPA8,IL33",0.0264
Cellular function,61,Concentration of prostaglandin,"MGLL,PRNP,PTGDS",0.0319
Canonical pathway,62,Glutaryl-CoA Degradation,"HSD17B10,PARK7,HADHA",0.032196516
Canonical pathway,63,ILK Signaling,"PIK3C2B,RELA,PPP2CA,RHOC,ACTB,PIK3R1,CREBBP,PPP2R5B,ITGB8,RICTOR,CREB5,DOCK1,JUN,PTPA,ACTG1,FNBP1",0.034571613
Cellular function,64,Apoptosis,"AKT1S1,BAD,CAT,CDKN1A,CHUK,CREBBP,CRYAB,DDIT3,DDIT4,DNM1L,FTH1,GAPDH,HSD17B10,HSPA5,JUN,KLF6,LPAR1,MAP2K1,MAPK8IP1,NDN,NFKBIA,PDCD6IP,PIK3R1,PLP1,PRNP,PTGDS,RAPGEF3,RELA,SEL1L,SGK1,SH3GLB1,SREBF1,STX4A,STX8,TRP53BP2,XBP1",0.0369
Cellular function,65,Long-term potentiation,"ATAD1,BACE1,CREBBP,EFNB3,FMR1,GNAI2,GPT,HDAC2,HSD17B10,IGSF11,JPH4,MAN2B1,MAP2K1,MGLL,P2RX4,PPP3R1,PRNP,Ptprd,RAB3A,RAPGEF3,RTN4,SLC24A2,STIP1",0.0408
Cellular function,66,Collapse of growth cone,"DPYSL2,EFNB3,EPHB1,MAG,NEO1,RGMA,RTN4,SEMA6D",0.0449
Cellular function,67,Quantity of amino acids,"AGRP,BCKDK,CLN3,ELAVL3,NPY,PHGDH",0.0479
Canonical pathway,68,Axonal Guidance Signaling,"DPYSL2,RAP2A,RGS3,WNT3,PIK3R1,Wasl,TUBB,BCAR1,GNG7,TUBB2B,GNB1,GNB4,EPHB1,SEMA6D,PPP3R1,EFNB3,GNG5,MAP2K1,GNG12,ADAMTS4,PIK3C2B,TUBB3,ADAM15,HHIP,RAP1A,GIT1,GNAI2,GNAI3,DOCK1,MAG,ARPC2,ADAM10,RTN4",0.049735022
Canonical pathway,69,Fatty Acid β-oxidation I,"HSD17B10,SCP2,SLC27A1,HADHA",0.057740906
Canonical pathway,70,Phagosome Maturation,"TUBB3,DYNLL1,ATP6V0B,HLA-A,PRDX1,NAPG,TUBB,ATP6V0E1,CTSF,EEA1,TUBB2B,PRDX2",0.067187278
